nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_60.8	NA	yellow
evm.TU.HIC_ASM_0.180	NA	yellow
evm.TU.HIC_ASM_0.2	NA	yellow
evm.TU.HIC_ASM_0.483	NA	yellow
evm.TU.HIC_ASM_1.1676	NA	yellow
evm.TU.HIC_ASM_1.559	NA	yellow
evm.TU.HIC_ASM_1.71	NA	yellow
evm.TU.HIC_ASM_1.816	NA	yellow
evm.TU.HIC_ASM_1.969	NA	yellow
evm.TU.HIC_ASM_10.156	NA	yellow
evm.TU.HIC_ASM_11.239	NA	yellow
evm.TU.HIC_ASM_11.71	NA	yellow
evm.TU.HIC_ASM_12.1345	NA	yellow
evm.TU.HIC_ASM_12.211	NA	yellow
evm.TU.HIC_ASM_12.300	NA	yellow
evm.TU.HIC_ASM_12.989	NA	yellow
evm.TU.HIC_ASM_13.1192	NA	yellow
evm.TU.HIC_ASM_13.1374	NA	yellow
evm.TU.HIC_ASM_13.759	NA	yellow
evm.TU.HIC_ASM_14.320	NA	yellow
evm.TU.HIC_ASM_15.1555	NA	yellow
evm.TU.HIC_ASM_15.1602	NA	yellow
evm.TU.HIC_ASM_15.1825	NA	yellow
evm.TU.HIC_ASM_15.2568	NA	yellow
evm.TU.HIC_ASM_15.2640	NA	yellow
evm.TU.HIC_ASM_16.94	NA	yellow
evm.TU.HIC_ASM_17.1448	NA	yellow
evm.TU.HIC_ASM_17.164	NA	yellow
evm.TU.HIC_ASM_18.322	NA	yellow
evm.TU.HIC_ASM_18.393	NA	yellow
evm.TU.HIC_ASM_18.555	NA	yellow
evm.TU.HIC_ASM_2.1199	NA	yellow
evm.TU.HIC_ASM_2.1469	NA	yellow
evm.TU.HIC_ASM_2.200	NA	yellow
evm.TU.HIC_ASM_2.592	NA	yellow
evm.TU.HIC_ASM_3.1383	NA	yellow
evm.TU.HIC_ASM_3.2345	NA	yellow
evm.TU.HIC_ASM_3.2347	NA	yellow
evm.TU.HIC_ASM_3.2348	NA	yellow
evm.TU.HIC_ASM_3.750	NA	yellow
evm.TU.HIC_ASM_4.1653	NA	yellow
evm.TU.HIC_ASM_4.318	NA	yellow
evm.TU.HIC_ASM_5.907	NA	yellow
evm.TU.HIC_ASM_6.1031	NA	yellow
evm.TU.HIC_ASM_6.1091	NA	yellow
evm.TU.HIC_ASM_6.137	NA	yellow
evm.TU.HIC_ASM_6.1822	NA	yellow
evm.TU.HIC_ASM_6.2069	NA	yellow
evm.TU.HIC_ASM_6.2395	NA	yellow
evm.TU.HIC_ASM_6.2524	NA	yellow
evm.TU.HIC_ASM_6.2810	NA	yellow
evm.TU.HIC_ASM_6.298	NA	yellow
evm.TU.HIC_ASM_6.3428	NA	yellow
evm.TU.HIC_ASM_6.3463	NA	yellow
evm.TU.HIC_ASM_6.3597	NA	yellow
evm.TU.HIC_ASM_6.441	NA	yellow
evm.TU.HIC_ASM_6.465	NA	yellow
evm.TU.HIC_ASM_7.1333	NA	yellow
evm.TU.HIC_ASM_7.2120	NA	yellow
evm.TU.HIC_ASM_7.2173	NA	yellow
evm.TU.HIC_ASM_7.218	NA	yellow
evm.TU.HIC_ASM_7.2231	NA	yellow
evm.TU.HIC_ASM_7.2343	NA	yellow
evm.TU.HIC_ASM_7.706	NA	yellow
evm.TU.HIC_ASM_8.450	NA	yellow
evm.TU.HIC_ASM_8.841	NA	yellow
evm.TU.HIC_ASM_9.1027	NA	yellow
evm.TU.HIC_ASM_9.1250	NA	yellow
evm.TU.HIC_ASM_9.1424	NA	yellow
evm.TU.HIC_ASM_9.387	NA	yellow
evm.TU.ORIGINAL_154.9	NA	yellow
evm.TU.ORIGINAL_200.16	NA	yellow
evm.TU.ORIGINAL_425.4	NA	yellow
evm.TU.ORIGINAL_484__FRAGMENT_2.21	NA	yellow
evm.TU.ORIGINAL_484__FRAGMENT_2.23	NA	yellow
evm.TU.ORIGINAL_494.16	NA	yellow
PB.78	NA	yellow
PB.21279	NA	yellow
PB.16937	NA	yellow
