nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_104__FRAGMENT_2.3	NA	yellow
evm.TU.HIC_ASM_0.100	NA	yellow
evm.TU.HIC_ASM_0.405	NA	yellow
evm.TU.HIC_ASM_0.504	NA	yellow
evm.TU.HIC_ASM_0.713	NA	yellow
evm.TU.HIC_ASM_0.973	NA	yellow
evm.TU.HIC_ASM_1.1713	NA	yellow
evm.TU.HIC_ASM_1.1887	NA	yellow
evm.TU.HIC_ASM_1.189	NA	yellow
evm.TU.HIC_ASM_1.2201	NA	yellow
evm.TU.HIC_ASM_11.1057	NA	yellow
evm.TU.HIC_ASM_11.618	NA	yellow
evm.TU.HIC_ASM_11.658	NA	yellow
evm.TU.HIC_ASM_11.831	NA	yellow
evm.TU.HIC_ASM_12.486	NA	yellow
evm.TU.HIC_ASM_12.85	NA	yellow
evm.TU.HIC_ASM_12.872	NA	yellow
evm.TU.HIC_ASM_13.293	NA	yellow
evm.TU.HIC_ASM_13.668	NA	yellow
evm.TU.HIC_ASM_14.108	NA	yellow
evm.TU.HIC_ASM_14.178	NA	yellow
evm.TU.HIC_ASM_14.673	NA	yellow
evm.TU.HIC_ASM_15.1226	NA	yellow
evm.TU.HIC_ASM_15.1327	NA	yellow
evm.TU.HIC_ASM_15.1498	NA	yellow
evm.TU.HIC_ASM_15.2266	NA	yellow
evm.TU.HIC_ASM_15.459	NA	yellow
evm.TU.HIC_ASM_16.659	NA	yellow
evm.TU.HIC_ASM_17.1349	NA	yellow
evm.TU.HIC_ASM_17.1402	NA	yellow
evm.TU.HIC_ASM_17.22	NA	yellow
evm.TU.HIC_ASM_17.869	NA	yellow
evm.TU.HIC_ASM_2.1307	NA	yellow
evm.TU.HIC_ASM_2.1349	NA	yellow
evm.TU.HIC_ASM_2.792	NA	yellow
evm.TU.HIC_ASM_3.26	NA	yellow
evm.TU.HIC_ASM_4.1621	NA	yellow
evm.TU.HIC_ASM_4.879	NA	yellow
evm.TU.HIC_ASM_5.471	NA	yellow
evm.TU.HIC_ASM_5.653	NA	yellow
evm.TU.HIC_ASM_5.797	NA	yellow
evm.TU.HIC_ASM_5.798	NA	yellow
evm.TU.HIC_ASM_6.177	NA	yellow
evm.TU.HIC_ASM_6.1861	NA	yellow
evm.TU.HIC_ASM_6.1862	NA	yellow
evm.TU.HIC_ASM_6.2047	NA	yellow
evm.TU.HIC_ASM_6.2095	NA	yellow
evm.TU.HIC_ASM_6.2728	NA	yellow
evm.TU.HIC_ASM_6.3188	NA	yellow
evm.TU.HIC_ASM_6.3508	NA	yellow
evm.TU.HIC_ASM_6.3683	NA	yellow
evm.TU.HIC_ASM_6.3710	NA	yellow
evm.TU.HIC_ASM_6.404	NA	yellow
evm.TU.HIC_ASM_7.1509	NA	yellow
evm.TU.HIC_ASM_7.1531	NA	yellow
evm.TU.HIC_ASM_7.1567	NA	yellow
evm.TU.HIC_ASM_7.173	NA	yellow
evm.TU.HIC_ASM_7.1886	NA	yellow
evm.TU.HIC_ASM_7.554	NA	yellow
evm.TU.HIC_ASM_9.1762	NA	yellow
PB.20638	NA	yellow
PB.574	NA	yellow
PB.11404	NA	yellow
PB.3329	NA	yellow
PB.11120	NA	yellow
PB.14258	NA	yellow
PB.4013	NA	yellow
PB.20327	NA	yellow
PB.7021	NA	yellow
PB.18879	NA	yellow
PB.23170	NA	yellow
PB.9670	NA	yellow
PB.1463	NA	yellow
PB.3510	NA	yellow
PB.1031	NA	yellow
PB.2795	NA	yellow
PB.23181	NA	yellow
PB.9145	NA	yellow
PB.3771	NA	yellow
PB.1344	NA	yellow
PB.2506	NA	yellow
PB.22999	NA	yellow
PB.10956	NA	yellow
PB.4847	NA	yellow
PB.2656	NA	yellow
PB.22001	NA	yellow
PB.7702	NA	yellow
PB.7943	NA	yellow
