nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_27__FRAGMENT_2.29	NA	red
evm.TU.FRAGSCAFF_36.1	NA	red
evm.TU.FRAGSCAFF_57__FRAGMENT_2.17	NA	red
evm.TU.HIC_ASM_0.1043	NA	red
evm.TU.HIC_ASM_0.113	NA	red
evm.TU.HIC_ASM_0.120	NA	red
evm.TU.HIC_ASM_0.70	NA	red
evm.TU.HIC_ASM_0.843	NA	red
evm.TU.HIC_ASM_0.902	NA	red
evm.TU.HIC_ASM_1.1981	NA	red
evm.TU.HIC_ASM_1.2671	NA	red
evm.TU.HIC_ASM_1.374	NA	red
evm.TU.HIC_ASM_1.538	NA	red
evm.TU.HIC_ASM_10.257	NA	red
evm.TU.HIC_ASM_10.287	NA	red
evm.TU.HIC_ASM_10.304	NA	red
evm.TU.HIC_ASM_10.450	NA	red
evm.TU.HIC_ASM_10.549	NA	red
evm.TU.HIC_ASM_10.686	NA	red
evm.TU.HIC_ASM_10.687	NA	red
evm.TU.HIC_ASM_10.804	NA	red
evm.TU.HIC_ASM_11.1401	NA	red
evm.TU.HIC_ASM_11.477	NA	red
evm.TU.HIC_ASM_12.132	NA	red
evm.TU.HIC_ASM_12.437	NA	red
evm.TU.HIC_ASM_13.1012	NA	red
evm.TU.HIC_ASM_13.411	NA	red
evm.TU.HIC_ASM_14.625	NA	red
evm.TU.HIC_ASM_14.628	NA	red
evm.TU.HIC_ASM_14.683	NA	red
evm.TU.HIC_ASM_14.705	NA	red
evm.TU.HIC_ASM_14.706	NA	red
evm.TU.HIC_ASM_14.80	NA	red
evm.TU.HIC_ASM_15.1607	NA	red
evm.TU.HIC_ASM_15.1890	NA	red
evm.TU.HIC_ASM_15.1964	NA	red
evm.TU.HIC_ASM_15.431	NA	red
evm.TU.HIC_ASM_16.1217	NA	red
evm.TU.HIC_ASM_16.1402	NA	red
evm.TU.HIC_ASM_16.934	NA	red
evm.TU.HIC_ASM_16.976	NA	red
evm.TU.HIC_ASM_17.1134	NA	red
evm.TU.HIC_ASM_17.296	NA	red
evm.TU.HIC_ASM_17.439	NA	red
evm.TU.HIC_ASM_18.1024	NA	red
evm.TU.HIC_ASM_18.133	NA	red
evm.TU.HIC_ASM_18.291	NA	red
evm.TU.HIC_ASM_18.35	NA	red
evm.TU.HIC_ASM_2.1148	NA	red
evm.TU.HIC_ASM_2.1179	NA	red
evm.TU.HIC_ASM_2.41	NA	red
evm.TU.HIC_ASM_2.616	NA	red
evm.TU.HIC_ASM_2.720	NA	red
evm.TU.HIC_ASM_2.993	NA	red
evm.TU.HIC_ASM_2.994	NA	red
evm.TU.HIC_ASM_2.995	NA	red
evm.TU.HIC_ASM_4.1047	NA	red
evm.TU.HIC_ASM_4.1519	NA	red
evm.TU.HIC_ASM_4.235	NA	red
evm.TU.HIC_ASM_4.236	NA	red
evm.TU.HIC_ASM_4.753	NA	red
evm.TU.HIC_ASM_4.754	NA	red
evm.TU.HIC_ASM_5.638	NA	red
evm.TU.HIC_ASM_5.655	NA	red
evm.TU.HIC_ASM_6.1454	NA	red
evm.TU.HIC_ASM_6.1573	NA	red
evm.TU.HIC_ASM_6.1960	NA	red
evm.TU.HIC_ASM_6.2023	NA	red
evm.TU.HIC_ASM_6.2182	NA	red
evm.TU.HIC_ASM_6.2246	NA	red
evm.TU.HIC_ASM_6.2248	NA	red
evm.TU.HIC_ASM_6.2612	NA	red
evm.TU.HIC_ASM_6.2809	NA	red
evm.TU.HIC_ASM_6.2961	NA	red
evm.TU.HIC_ASM_6.2998	NA	red
evm.TU.HIC_ASM_6.3724	NA	red
evm.TU.HIC_ASM_6.3858	NA	red
evm.TU.HIC_ASM_6.3930	NA	red
evm.TU.HIC_ASM_6.3984	NA	red
evm.TU.HIC_ASM_6.4	NA	red
evm.TU.HIC_ASM_6.776	NA	red
evm.TU.HIC_ASM_6.87	NA	red
evm.TU.HIC_ASM_7.1089	NA	red
evm.TU.HIC_ASM_7.1119	NA	red
evm.TU.HIC_ASM_7.276	NA	red
evm.TU.HIC_ASM_7.277	NA	red
evm.TU.HIC_ASM_7.533	NA	red
evm.TU.HIC_ASM_7.805	NA	red
evm.TU.HIC_ASM_8.1873	NA	red
evm.TU.HIC_ASM_8.1876	NA	red
evm.TU.HIC_ASM_8.2071	NA	red
evm.TU.HIC_ASM_8.808	NA	red
evm.TU.HIC_ASM_8.915	NA	red
evm.TU.HIC_ASM_8.933	NA	red
evm.TU.HIC_ASM_9.1232	NA	red
evm.TU.HIC_ASM_9.446	NA	red
evm.TU.HIC_ASM_9.975	NA	red
evm.TU.ORIGINAL_113.64	NA	red
evm.TU.ORIGINAL_435__FRAGMENT_2.1	NA	red
PB.3163	NA	red
