nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_21__FRAGMENT_1.32	NA	lightcyan
evm.TU.FRAGSCAFF_27__FRAGMENT_2.21	NA	lightcyan
evm.TU.FRAGSCAFF_36.5	NA	lightcyan
evm.TU.FRAGSCAFF_44__FRAGMENT_2.14	NA	lightcyan
evm.TU.FRAGSCAFF_47__FRAGMENT_3.15	NA	lightcyan
evm.TU.FRAGSCAFF_52__FRAGMENT_3.2	NA	lightcyan
evm.TU.FRAGSCAFF_57__FRAGMENT_2.35	NA	lightcyan
evm.TU.FRAGSCAFF_57__FRAGMENT_2.37	NA	lightcyan
evm.TU.FRAGSCAFF_59.3	NA	lightcyan
evm.TU.FRAGSCAFF_72__FRAGMENT_4.1	NA	lightcyan
evm.TU.FRAGSCAFF_72__FRAGMENT_4.2	NA	lightcyan
evm.TU.FRAGSCAFF_89__FRAGMENT_4.5	NA	lightcyan
evm.TU.HIC_ASM_0.1000	NA	lightcyan
evm.TU.HIC_ASM_0.199	NA	lightcyan
evm.TU.HIC_ASM_0.203	NA	lightcyan
evm.TU.HIC_ASM_0.286	NA	lightcyan
evm.TU.HIC_ASM_0.300	NA	lightcyan
evm.TU.HIC_ASM_0.317	NA	lightcyan
evm.TU.HIC_ASM_0.346	NA	lightcyan
evm.TU.HIC_ASM_0.474	NA	lightcyan
evm.TU.HIC_ASM_0.53	NA	lightcyan
evm.TU.HIC_ASM_0.571	NA	lightcyan
evm.TU.HIC_ASM_0.583	NA	lightcyan
evm.TU.HIC_ASM_0.774	NA	lightcyan
evm.TU.HIC_ASM_0.910	NA	lightcyan
evm.TU.HIC_ASM_0.965	NA	lightcyan
evm.TU.HIC_ASM_1.1243	NA	lightcyan
evm.TU.HIC_ASM_1.133	NA	lightcyan
evm.TU.HIC_ASM_1.1416	NA	lightcyan
evm.TU.HIC_ASM_1.1467	NA	lightcyan
evm.TU.HIC_ASM_1.1508	NA	lightcyan
evm.TU.HIC_ASM_1.1578	NA	lightcyan
evm.TU.HIC_ASM_1.1597	NA	lightcyan
evm.TU.HIC_ASM_1.1794	NA	lightcyan
evm.TU.HIC_ASM_1.1919	NA	lightcyan
evm.TU.HIC_ASM_1.1929	NA	lightcyan
evm.TU.HIC_ASM_1.2001	NA	lightcyan
evm.TU.HIC_ASM_1.2269	NA	lightcyan
evm.TU.HIC_ASM_1.2295	NA	lightcyan
evm.TU.HIC_ASM_1.2358	NA	lightcyan
evm.TU.HIC_ASM_1.2455	NA	lightcyan
evm.TU.HIC_ASM_1.2546	NA	lightcyan
evm.TU.HIC_ASM_1.2575	NA	lightcyan
evm.TU.HIC_ASM_1.2627	NA	lightcyan
evm.TU.HIC_ASM_1.2653	NA	lightcyan
evm.TU.HIC_ASM_1.2713	NA	lightcyan
evm.TU.HIC_ASM_1.301	NA	lightcyan
evm.TU.HIC_ASM_1.379	NA	lightcyan
evm.TU.HIC_ASM_1.414	NA	lightcyan
evm.TU.HIC_ASM_1.47	NA	lightcyan
evm.TU.HIC_ASM_1.489	NA	lightcyan
evm.TU.HIC_ASM_1.773	NA	lightcyan
evm.TU.HIC_ASM_1.774	NA	lightcyan
evm.TU.HIC_ASM_10.1103	NA	lightcyan
evm.TU.HIC_ASM_10.1201	NA	lightcyan
evm.TU.HIC_ASM_10.147	NA	lightcyan
evm.TU.HIC_ASM_10.172	NA	lightcyan
evm.TU.HIC_ASM_10.207	NA	lightcyan
evm.TU.HIC_ASM_10.212	NA	lightcyan
evm.TU.HIC_ASM_10.275	NA	lightcyan
evm.TU.HIC_ASM_10.276	NA	lightcyan
evm.TU.HIC_ASM_10.293	NA	lightcyan
evm.TU.HIC_ASM_10.388	NA	lightcyan
evm.TU.HIC_ASM_10.522	NA	lightcyan
evm.TU.HIC_ASM_10.62	NA	lightcyan
evm.TU.HIC_ASM_10.748	NA	lightcyan
evm.TU.HIC_ASM_10.860	NA	lightcyan
evm.TU.HIC_ASM_11.1003	NA	lightcyan
evm.TU.HIC_ASM_11.110	NA	lightcyan
evm.TU.HIC_ASM_11.1189	NA	lightcyan
evm.TU.HIC_ASM_11.1226	NA	lightcyan
evm.TU.HIC_ASM_11.180	NA	lightcyan
evm.TU.HIC_ASM_11.21	NA	lightcyan
evm.TU.HIC_ASM_11.309	NA	lightcyan
evm.TU.HIC_ASM_11.449	NA	lightcyan
evm.TU.HIC_ASM_11.860	NA	lightcyan
evm.TU.HIC_ASM_12.1004	NA	lightcyan
evm.TU.HIC_ASM_12.1016	NA	lightcyan
evm.TU.HIC_ASM_12.1077	NA	lightcyan
